,Algo,Kernal,depthORk,TrainSize,TestSize,NotDeleted,Deleted,Time,TrainingResult,TestResult,F1_SCORE,Accuracy,JaccardScore,PRECISION,RECALL,"0,0","0,1","1,0","1,1"
0,DecisionTree,gini,1,338230,84558,,,1.212663651,0.653141354,0.655514558,0.738145108,0.655514558,0.584968298,0.595359629,0.971027175,14373,27904,1225,41056
1,DecisionTree,entropy,1,338230,84558,,,1.339339972,0.645859326,0.648040398,0.736233836,0.648040398,0.582571252,0.588731396,0.982356141,13262,29015,746,41535
2,DecisionTree,log_loss,1,338230,84558,,,1.331358671,0.645859326,0.648040398,0.736233836,0.648040398,0.582571252,0.588731396,0.982356141,13262,29015,746,41535
3,DecisionTree,gini,1,338230,84558,,,1.175613165,0.653141354,0.655514558,0.738145108,0.655514558,0.584968298,0.595359629,0.971027175,14373,27904,1225,41056
4,DecisionTree,entropy,1,338230,84558,,,1.300299168,0.645859326,0.648040398,0.736233836,0.648040398,0.582571252,0.588731396,0.982356141,13262,29015,746,41535
5,DecisionTree,log_loss,1,338230,84558,,,1.291258812,0.645859326,0.648040398,0.736233836,0.648040398,0.582571252,0.588731396,0.982356141,13262,29015,746,41535
6,DecisionTree,gini,1,338230,84558,,,1.165721655,0.653141354,0.655514558,0.738145108,0.655514558,0.584968298,0.595359629,0.971027175,14373,27904,1225,41056
7,DecisionTree,entropy,1,338230,84558,,,1.303805113,0.645859326,0.648040398,0.736233836,0.648040398,0.582571252,0.588731396,0.982356141,13262,29015,746,41535
8,DecisionTree,log_loss,1,338230,84558,,,1.290274382,0.645859326,0.648040398,0.736233836,0.648040398,0.582571252,0.588731396,0.982356141,13262,29015,746,41535
9,DecisionTree,gini,1,338230,84558,,,1.158601761,0.653141354,0.655514558,0.738145108,0.655514558,0.584968298,0.595359629,0.971027175,14373,27904,1225,41056
10,DecisionTree,entropy,1,338230,84558,,,1.283364058,0.645859326,0.648040398,0.736233836,0.648040398,0.582571252,0.588731396,0.982356141,13262,29015,746,41535
